id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_14d_in_currency,price_change_percentage_1h_in_currency,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,created_date
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,56.0,7127279241.0,21.0,,4160341600.0,65.28,54.83,-9.02408082,-13.87861,-1203053186.432147,-14.44184,127756774.499082,210700000.0,,167.09,-66.60441,2021-05-06T18:34:22.133Z,0.615038,8972.46963,2016-07-25T00:00:00.000Z,"{'times': 123.43874401058025, 'currency': 'usd', 'percentage': 12343.874401058025}",2021-06-08T04:13:37.803Z,-23.05535075331688,0.8429580435095504,720.0357104828713,848.9101939885927,-13.878607306580637,-55.47094734366649,-20.00093917576384,2021-06-07 21:14:19
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,32976.0,6187733552.0,22.0,6187733552.0,424506088.0,36782.0,32482.0,-3629.1895457,-9.91445,-684028118.7486181,-9.95419,187609.83862947,187609.83862947,187609.83862947,64565.0,-49.00348,2021-04-14T12:00:05.340Z,3139.17,948.87553,2019-04-02T00:00:00.000Z,,2021-06-08T04:13:21.670Z,-14.859209289472469,1.179093264153838,238.04084809295438,85.47938833276487,-9.91445455132526,-43.97450905765429,-11.891160156801568,2021-06-07 21:14:19
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,76.74,5931619777.0,23.0,151016375432.0,1290304674.0,91.84,73.86,-14.2662463,-15.67566,-1108966341.214964,-15.75105,77529655.0,1973870195.0,1973870195.0,236.84,-67.93205,2021-04-01T13:29:41.564Z,20.06,278.62088,2020-12-29T22:32:28.483Z,,2021-06-08T04:13:37.610Z,2.766899874142723,2.64663120378933,,166.13110220022074,-15.675656463920737,-48.19335402252094,5.645916681145725,2021-06-07 21:14:19
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.07036,5041019439.0,24.0,,1471328055.0,0.078912,0.06912,-0.00813581,-10.36464,-593453882.7115393,-10.53255,71660220128.0,100850743812.0,,0.231673,-69.67584,2018-01-05T00:00:00.000Z,0.00180434,3793.54254,2017-11-12T00:00:00.000Z,"{'times': 36.03159545849181, 'currency': 'usd', 'percentage': 3603.1595458491806}",2021-06-08T04:13:28.299Z,-8.202863336419236,1.19687390604137,288.20258171827203,172.7191583430714,-10.364640150500753,-51.16434804834877,-8.26990285109018,2021-06-07 21:14:19
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,4.98,4762012430.0,25.0,,2587590601.0,5.95,4.85,-0.96585462,-16.25735,-950735966.4152784,-16.64236,958576429.2685,,,22.71,-78.17977,2018-04-29T07:50:33.540Z,0.5024,886.39584,2017-10-23T00:00:00.000Z,"{'times': 4.025432060881989, 'currency': 'usd', 'percentage': 402.5432060881989}",2021-06-08T04:13:28.047Z,-10.954615045349673,1.3650916450393489,77.29573684778067,88.91410813949548,-16.25735326341629,-51.63918613956226,-24.49427338514022,2021-06-07 21:14:19
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.0,4662817293.0,26.0,4662817293.0,577754120.0,1.01,0.983664,0.0013303,0.13263,82734845.0,1.80641,4642707976.58913,4642707976.58913,4642707976.58913,1.22,-17.63229,2020-03-13T03:02:50.373Z,0.903243,11.15558,2019-11-25T00:04:18.137Z,,2021-06-08T04:05:55.845Z,0.06876681669991244,1.7201093636440623,0.14350369883372335,0.020385555039784946,0.13263158084543591,0.40314858320678393,0.44338314034641796,2021-06-07 21:14:19
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,246.02,4409681235.0,27.0,,251254437.0,279.44,239.32,-31.20339887,-11.25549,-570759824.2595501,-11.46003,17927097.1776764,,,542.33,-55.00474,2018-01-09T00:00:00.000Z,0.216177,112780.26366,2015-01-14T00:00:00.000Z,,2021-06-08T04:13:39.450Z,-3.5051379824131113,1.8601930602978232,270.469527364564,107.7720902272858,-11.255493769307405,-48.265065743955645,-9.862306414825799,2021-06-07 21:14:19
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,324.22,4142776385.0,28.0,5181595336.0,393564844.0,387.47,316.45,-52.03680072,-13.83003,-679487309.700789,-14.09063,12792280.72852835,16000000.0,16000000.0,661.69,-51.35923,2021-05-18T21:19:59.514Z,26.02,1136.78794,2020-11-05T09:20:11.928Z,,2021-06-08T04:13:29.118Z,-15.73115279746688,1.4406161865963865,,327.59069337325576,-13.830028878432143,-30.339915661141347,-15.397119244320137,2021-06-07 21:14:19
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,14.1,3761988126.0,29.0,,379251670.0,16.59,13.62,-2.4902359,-15.01305,-699916833.8749671,-15.6865,267436117.72,300000000.0,,44.01,-67.9147,2021-05-03T01:03:16.108Z,0.580608,2331.8017,2019-01-14T00:00:00.000Z,,2021-06-08T04:12:56.852Z,-7.322403716294397,2.4700603068654283,157.97157267542264,147.9537733747615,-15.013054567139477,-56.207876618842754,2.6781239735830296,2021-06-07 21:14:19
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,7.45e-06,3705659491.0,30.0,,497706712.0,8.65e-06,7.21e-06,-1.2e-06,-13.86724,-605878075.1440935,-14.05248,497730966630395.75,1000000000000000.0,,3.791e-05,-80.42275,2021-05-10T22:53:42.945Z,0.0,13167572.66562,2020-11-28T11:26:25.838Z,,2021-06-08T04:13:30.705Z,-29.817358179619234,0.5138048952966133,,12094415.02419273,-13.867244906404197,-52.54610445876038,-21.00577445640074,2021-06-07 21:14:19
